family,factor,run_id,condition,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,delta_logloss,delta_brier
F5_Temporal,force,feature_bank_force_audited_validation_20260915,Hard,0.5521747810843225,0.5786516072138665,0.02647682612954405,-0.3286258167001428,0.0013616292216632742
F5_Temporal,force,feature_bank_force_audited_validation_20260915,Light,0.4222907429935671,0.4032862354540563,-0.01900450753951083,-0.47740295079112616,-0.006448654099802498
F5_Temporal,force,feature_bank_force_audited_validation_20260915,MVC,0.4378894770504586,0.4951685107685731,0.05727903371811449,0.2896841737649076,0.014813079121093503
F5_Temporal,force,feature_bank_force_audited_validation_20260915,Medium,0.5017347699032976,0.5302362390949866,0.028501469191689055,-0.39719079146625647,0.00046786265378440106
F9_Quality,force,feature_bank_force_audited_validation_20260915,ALL,0.5477535829874961,0.5908641649878105,0.04311058200031437,0.03326046166572749,0.00860758878146893
F9_Quality,force,feature_bank_force_audited_validation_20260915,20P,0.23136080254554128,0.2331544150862141,0.001793612540672812,-0.38574103176774077,-0.00739232352717295
F9_Quality,force,feature_bank_force_audited_validation_20260915,30P,0.5127778846208598,0.5495959972620238,0.03681811264116397,-0.023161142092296805,0.0047723252945642
F9_Quality,force,feature_bank_force_audited_validation_20260915,40P,0.602638481889912,0.6212801252354866,0.01864164334557461,-0.017290917052600996,0.004974436599757118
F9_Quality,force,feature_bank_force_audited_validation_20260915,50P,0.6152300298781973,0.671459775273758,0.05622974539556069,0.0337206936611969,0.011084055384983041
F9_Quality,force,feature_bank_force_audited_validation_20260915,60P,0.6420279129046133,0.6929494930812293,0.05092158017661608,-0.05989606713975304,0.010795062214373694
F9_Quality,force,feature_bank_force_audited_validation_20260915,70P,0.6774648957832045,0.7169273822294447,0.039462486446240286,0.007843440650155964,0.010823687189149805
F9_Quality,force,feature_bank_force_audited_validation_20260915,80P,0.640795220667563,0.67287203843567,0.032076817768107,0.028828701968170334,0.0058505199700969734
F9_Quality,force,feature_bank_force_audited_validation_20260915,Hard,0.5521747810843225,0.5995856279984825,0.047410846914159976,0.20215567194625184,0.01375698937573841
F9_Quality,force,feature_bank_force_audited_validation_20260915,Light,0.4222907429935671,0.5103674118983051,0.08807666890473803,0.06475464454621749,0.00948969788552173
F9_Quality,force,feature_bank_force_audited_validation_20260915,MVC,0.4378894770504586,0.4760497489169828,0.03816027186652421,0.7880148200653947,0.016999100411314597
F9_Quality,force,feature_bank_force_audited_validation_20260915,Medium,0.5017347699032976,0.5868284488670256,0.08509367896372799,0.10401344273784097,0.017725681612754465
F1_X1H,wearing,feature_bank_electrode_shift_validation_20260915,ALL,0.4533008662328849,0.4554399205561072,0.0021390543232223114,0.013772130876519295,-1.7027505370054152e-05
F1_X1H,wearing,feature_bank_electrode_shift_validation_20260915,trial_1,0.5114285714285713,0.5173426573426573,0.005914085914085931,-0.003967102629741426,0.0013870273514144382
F1_X1H,wearing,feature_bank_electrode_shift_validation_20260915,trial_2,0.40575757575757576,0.3679020979020979,-0.03785547785547788,0.07012049202720627,0.0012509149664083896
F1_X1H,wearing,feature_bank_electrode_shift_validation_20260915,trial_3,0.4611521811521812,0.4611521811521812,0.0,-0.020879795768822484,-0.004989574246925449
F1_X1H,wearing,feature_bank_electrode_shift_validation_20260915,trial_4,0.43065588006764477,0.4653968253968254,0.03474094532918065,0.009814929877435485,0.0022835219076224045
