dataset,phase,subject,condition,family,feature_dimension,active_native_labels_json,rest_label_excluded,D_nuisance_active,D_gesture_active,J_active,macro_f1_active6,accuracy_active,log_loss_active_truth_7way_probability,active_trials,rest_trials_excluded
libemg_contraction_intensity,validation,8,MVC,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.884587287902832,6.033297538757324,3.201389278790603,0.5555555555555555,0.6666666666666666,1.116056259193204,12,2
libemg_contraction_intensity,validation,8,Light,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.8689954280853271,4.315433979034424,2.3089590878370574,0.729100529100529,0.75,0.645672270365013,24,4
libemg_contraction_intensity,validation,8,Medium,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.4135005474090576,4.644015312194824,3.285471180310997,0.6497835497835497,0.7083333333333334,0.5581360117257086,24,4
libemg_contraction_intensity,validation,8,Hard,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.4712783098220825,5.222917079925537,3.54991781276388,0.6916666666666668,0.75,0.763806790876156,24,4
libemg_contraction_intensity,validation,7,ALL,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.293755054473877,6.285472262989391,1.4638637237338115,0.2673995901670611,0.28174603174603174,2.777292521223288,252,42
libemg_contraction_intensity,validation,7,20P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.642606735229492,5.521136283874512,1.1892319549402173,0.1259259259259259,0.125,3.93159601891259,24,4
libemg_contraction_intensity,validation,7,30P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.9020836353302,6.207535266876221,1.5908257861294783,0.20868945868945868,0.25,2.8013336736403907,24,4
libemg_contraction_intensity,validation,7,40P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.5640368461608887,6.461271286010742,1.8129081052541327,0.3253968253968254,0.375,2.088655421252652,24,4
libemg_contraction_intensity,validation,7,50P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.7973575592041016,7.104367256164551,1.8708712954243074,0.19722222222222222,0.25,2.0872956679756824,24,4
libemg_contraction_intensity,validation,7,60P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.9183857440948486,6.889581203460693,1.7582702809869393,0.32395382395382394,0.375,2.156705101769514,24,4
libemg_contraction_intensity,validation,7,70P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.9695472717285156,6.836280822753906,1.722181486858795,0.3444444444444444,0.375,1.7715939732349077,24,4
libemg_contraction_intensity,validation,7,80P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.0854692459106445,6.76231050491333,1.6552102335653491,0.21097883597883596,0.20833333333333334,2.0541765365541074,24,4
libemg_contraction_intensity,validation,7,MVC,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,6.094745635986328,6.28376579284668,1.0310136251857966,0.33968253968253964,0.4166666666666667,2.64155899782974,12,2
libemg_contraction_intensity,validation,7,Light,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,5.651133060455322,5.60591983795166,0.9919992641972548,0.15,0.125,5.639270076124849,24,4
